millis,stamp,datetime,Inside_Temp,Outside_Temp,status
999, 1052589753, 2003/5/10 18:2:33, 26.20, 18.60, ON
3999, 1052589756, 2003/5/10 18:2:36, 25.70, 18.50, ON
6999, 1052589759, 2003/5/10 18:2:39, 25.60, 18.50, ON
10000, 1052589762, 2003/5/10 18:2:42, 25.50, 18.50, ON
12999, 1052589765, 2003/5/10 18:2:45, 25.30, 18.50, OFF
16000, 1052589768, 2003/5/10 18:2:48, 25.10, 18.50, OFF
19000, 1052589771, 2003/5/10 18:2:51, 25.00, 18.50, OFF
21999, 1052589774, 2003/5/10 18:2:54, 24.80, 18.60, OFF
24999, 1052589777, 2003/5/10 18:2:57, 24.70, 18.60, OFF
27999, 1052589780, 2003/5/10 18:3:0, 24.50, 18.60, OFF
30998, 1052589783, 2003/5/10 18:3:3, 24.40, 18.60, OFF
33998, 1052589786, 2003/5/10 18:3:6, 24.30, 18.60, OFF
36999, 1052589789, 2003/5/10 18:3:9, 24.20, 18.60, OFF
39998, 1052589792, 2003/5/10 18:3:12, 24.00, 18.60, OFF
42998, 1052589795, 2003/5/10 18:3:15, 23.90, 18.60, OFF
46000, 1052589798, 2003/5/10 18:3:18, 23.80, 18.70, OFF
48998, 1052589801, 2003/5/10 18:3:21, 23.70, 18.70, OFF
51998, 1052589804, 2003/5/10 18:3:24, 23.60, 18.70, OFF
55000, 1052589807, 2003/5/10 18:3:27, 23.40, 18.70, OFF
57999, 1052589810, 2003/5/10 18:3:30, 23.30, 18.70, OFF
60999, 1052589813, 2003/5/10 18:3:33, 23.20, 18.60, OFF
64000, 1052589816, 2003/5/10 18:3:36, 23.10, 18.70, OFF
67000, 1052589819, 2003/5/10 18:3:39, 23.00, 18.60, OFF
69999, 1052589822, 2003/5/10 18:3:42, 22.90, 18.60, OFF
72999, 1052589825, 2003/5/10 18:3:45, 22.80, 18.60, OFF
76000, 1052589828, 2003/5/10 18:3:48, 22.70, 18.60, OFF
78999, 1052589831, 2003/5/10 18:3:51, 22.50, 18.60, OFF
81999, 1052589834, 2003/5/10 18:3:54, 22.40, 18.60, OFF
85000, 1052589837, 2003/5/10 18:3:57, 22.40, 18.60, OFF
87999, 1052589840, 2003/5/10 18:4:0, 22.30, 18.70, OFF
90999, 1052589843, 2003/5/10 18:4:3, 22.20, 18.70, OFF
94000, 1052589846, 2003/5/10 18:4:6, 22.10, 18.70, OFF
96999, 1052589849, 2003/5/10 18:4:9, 22.00, 18.70, OFF
99998, 1052589852, 2003/5/10 18:4:12, 21.90, 18.70, OFF
102999, 1052589855, 2003/5/10 18:4:15, 21.80, 18.70, OFF
105999, 1052589858, 2003/5/10 18:4:18, 21.70, 18.70, OFF
108999, 1052589861, 2003/5/10 18:4:21, 21.60, 18.70, OFF
112000, 1052589864, 2003/5/10 18:4:24, 21.50, 18.70, OFF
115000, 1052589867, 2003/5/10 18:4:27, 21.50, 18.70, OFF
117998, 1052589870, 2003/5/10 18:4:30, 21.40, 18.60, OFF
120998, 1052589873, 2003/5/10 18:4:33, 21.30, 18.70, OFF
123999, 1052589876, 2003/5/10 18:4:36, 21.20, 18.70, OFF
126999, 1052589879, 2003/5/10 18:4:39, 21.10, 18.70, OFF
129999, 1052589882, 2003/5/10 18:4:42, 21.10, 18.70, OFF
133000, 1052589885, 2003/5/10 18:4:45, 21.00, 18.70, OFF
135999, 1052589888, 2003/5/10 18:4:48, 21.00, 18.70, OFF
138999, 1052589891, 2003/5/10 18:4:51, 20.90, 18.70, OFF
141999, 1052589894, 2003/5/10 18:4:54, 20.80, 18.70, OFF
144999, 1052589897, 2003/5/10 18:4:57, 20.70, 18.70, OFF
147999, 1052589900, 2003/5/10 18:5:0, 20.70, 18.80, OFF
151000, 1052589903, 2003/5/10 18:5:3, 20.60, 18.70, OFF
153999, 1052589906, 2003/5/10 18:5:6, 20.60, 18.80, OFF
156999, 1052589909, 2003/5/10 18:5:9, 20.50, 18.70, OFF
160000, 1052589912, 2003/5/10 18:5:12, 20.40, 18.70, OFF
162998, 1052589915, 2003/5/10 18:5:15, 20.40, nan, ON
165999, 1052589919, 2003/5/10 18:5:19, 20.30, 18.90, OFF
168999, 1052589922, 2003/5/10 18:5:22, 20.30, 19.00, OFF
171999, 1052589925, 2003/5/10 18:5:25, 20.20, 19.10, OFF
174999, 1052589928, 2003/5/10 18:5:28, 20.20, 19.30, OFF
177999, 1052589931, 2003/5/10 18:5:31, 20.10, 19.40, OFF
181000, 1052589934, 2003/5/10 18:5:34, 20.10, 19.50, OFF
183999, 1052589937, 2003/5/10 18:5:37, 20.00, 19.50, OFF
186999, 1052589940, 2003/5/10 18:5:40, 19.90, 19.60, OFF
190000, 1052589943, 2003/5/10 18:5:43, 19.90, 19.60, OFF
192999, 1052589946, 2003/5/10 18:5:46, 19.90, 19.70, OFF
195999, 1052589949, 2003/5/10 18:5:49, 19.80, 19.70, OFF
199000, 1052589952, 2003/5/10 18:5:52, 19.70, 19.60, OFF
201998, 1052589955, 2003/5/10 18:5:55, 19.70, 19.60, OFF
204998, 1052589958, 2003/5/10 18:5:58, 19.70, 19.60, OFF
207998, 1052589961, 2003/5/10 18:6:1, 19.60, 19.50, OFF
211000, 1052589964, 2003/5/10 18:6:4, 19.60, 19.60, OFF
213999, 1052589967, 2003/5/10 18:6:7, 19.50, 19.50, OFF
216999, 1052589970, 2003/5/10 18:6:10, 19.50, 19.50, OFF
220000, 1052589973, 2003/5/10 18:6:13, 19.40, 19.50, OFF
222999, 1052589976, 2003/5/10 18:6:16, 19.40, 19.50, OFF
225999, 1052589979, 2003/5/10 18:6:19, 19.40, 19.40, OFF
229000, 1052589982, 2003/5/10 18:6:22, 19.40, 19.40, OFF
231999, 1052589985, 2003/5/10 18:6:25, 19.30, 19.40, OFF
234999, 1052589988, 2003/5/10 18:6:28, 19.30, 19.30, OFF
